Dept,Course,Description,Section,Comp,Del,StartMonth,StartDay,EndMonth,EndDay,ClassDayOfWeek,ClassHour,ClassDuration,Room,ProfFirstName,ProfLastName
0,ORIE0100,New Student Orientation,1,1,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,2,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,3,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,4,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,5,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,6,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,7,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,8,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,9,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,10,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,11,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,12,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,13,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,14,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,15,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,16,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,17,1,9,6,9,7,0,0,0,,,
0,ORIE0100,New Student Orientation,1,18,1,9,6,9,7,0,0,0,,,
ACFN,ACCT2121,Financial Accounting Concepts,1,1,1,9,8,12,22,Monday,14.5,1.5,EB2136,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,1,1,2,9,8,12,22,Wednesday,14.5,1.5,EB2136,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,1,501,1,9,8,12,22,Wednesday,17,1,EB2128,,ACCT 2121 - Lab 1
ACFN,ACCT2121,Financial Accounting Concepts,10,10,1,9,8,12,22,Tuesday,13,1.5,EB3108,,ACCT Lecturer 4
ACFN,ACCT2121,Financial Accounting Concepts,10,10,2,9,8,12,22,Thursday,13,1.5,EB3108,,ACCT Lecturer 4
ACFN,ACCT2121,Financial Accounting Concepts,10,510,1,9,8,12,22,Tuesday,18,1,EB3108,,ACCT 2121 - Lab 2
ACFN,ACCT2121,Financial Accounting Concepts,2,2,1,9,8,12,22,Monday,13,1.5,EB3108,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,2,2,2,9,8,12,22,Wednesday,13,1.5,EB3108,Jason,Tang
ACFN,ACCT2121,Financial Accounting Concepts,2,502,1,9,8,12,22,Wednesday,18,1,EB2128,,ACCT 2121 - Lab 1
ACFN,ACCT2121,Financial Accounting Concepts,3,3,1,9,8,12,22,Monday,10,1.5,EB3108,,ACCT Lecturer 1
ACFN,ACCT2121,Financial Accounting Concepts,3,3,2,9,8,12,22,Wednesday,10,1.5,EB3108,,ACCT Lecturer 1
ACFN,ACCT2121,Financial Accounting Concepts,3,503,1,9,8,12,22,Wednesday,19,1,EB2128,,ACCT 2121 - Lab 1
ACFN,ACCT2121,Financial Accounting Concepts,4,4,1,9,8,12,22,Monday,11.5,1.5,EB3108,,ACCT Lecturer 1
ACFN,ACCT2121,Financial Accounting Concepts,4,4,2,9,8,12,22,Wednesday,11.5,1.5,EB3108,,ACCT Lecturer 1
ACFN,ACCT2121,Financial Accounting Concepts,4,504,1,9,8,12,22,Wednesday,17,1,EB2136,,ACCT 2121 - Lab 2
ACFN,ACCT2121,Financial Accounting Concepts,5,5,1,9,8,12,22,Monday,13,1.5,EB3112,,ACCT Lecturer 7
ACFN,ACCT2121,Financial Accounting Concepts,5,5,2,9,8,12,22,Wednesday,13,1.5,EB3112,,ACCT Lecturer 7
